DeviceLogId,DownloadDate,DeviceId,UserId,LogDate,Direction,AttDirection,C1,C2,C3,C4,C5,C6,C7,WorkCode,UpdateFlag,IsApproved,EmployeeImage,FileName,Longitude,Latitude,CreatedDate,LastModifiedDate,LocationAddress,BodyTemperature,IsMaskOn
82511,12/01/2020 12:30:21,19,HR/EN/1522,11/30/2020 18:02:37,,NULL,in,NULL,NULL,0,15,NULL,NULL,,0,-1,NULL,NULL,NULL,NULL,12/01/2020 12:30:21,NULL,NULL,0,0
82510,12/01/2020 12:30:21,19,HR/EN/1662,11/30/2020 18:02:24,,NULL,in,NULL,NULL,0,15,NULL,NULL,,0,-1,NULL,NULL,NULL,NULL,12/01/2020 12:30:21,NULL,NULL,0,0
82509,12/01/2020 12:30:21,19,HR/EN/1662,11/30/2020 18:02:20,,NULL,in,NULL,NULL,0,15,NULL,NULL,,0,-1,NULL,NULL,NULL,NULL,12/01/2020 12:30:21,NULL,NULL,0,0
16575,12/01/2020 10:46:01,37,HR/EN/1135,11/30/2020 18:01:26,,NULL,out,NULL,NULL,4,15,NULL,NULL,,0,-1,NULL,NULL,NULL,NULL,12/01/2020 10:46:01,NULL,NULL,0,0
16574,12/01/2020 10:46:01,37,HR/EN/1135,11/30/2020 18:01:24,,NULL,out,NULL,NULL,4,15,NULL,NULL,,0,-1,NULL,NULL,NULL,NULL,12/01/2020 10:46:01,NULL,NULL,0,0
82508,12/01/2020 12:30:21,19,HR/EN/0505,11/30/2020 18:01:14,,NULL,in,NULL,NULL,0,15,NULL,NULL,,0,-1,NULL,NULL,NULL,NULL,12/01/2020 12:30:21,NULL,NULL,0,0
82507,12/01/2020 12:30:21,19,HR/EN/0131,11/30/2020 18:00:59,,NULL,in,NULL,NULL,0,15,NULL,NULL,,0,-1,NULL,NULL,NULL,NULL,12/01/2020 12:30:21,NULL,NULL,0,0
82506,12/01/2020 12:30:21,19,HR/EN/0131,11/30/2020 18:00:50,,NULL,in,NULL,NULL,0,15,NULL,NULL,,0,-1,NULL,NULL,NULL,NULL,12/01/2020 12:30:21,NULL,NULL,0,0
82505,12/01/2020 12:30:21,19,HR/EN/0033,11/30/2020 18:00:41,,NULL,in,NULL,NULL,0,15,NULL,NULL,,0,-1,NULL,NULL,NULL,NULL,12/01/2020 12:30:21,NULL,NULL,0,0
82504,12/01/2020 12:30:21,19,HR/EN/0033,11/30/2020 18:00:36,,NULL,in,NULL,NULL,0,15,NULL,NULL,,0,-1,NULL,NULL,NULL,NULL,12/01/2020 12:30:21,NULL,NULL,0,0
82503,12/01/2020 12:30:21,19,HR/EN/1414,11/30/2020 18:00:25,,NULL,in,NULL,NULL,0,15,NULL,NULL,,0,-1,NULL,NULL,NULL,NULL,12/01/2020 12:30:21,NULL,NULL,0,0
82502,12/01/2020 12:30:21,19,HR/EN/1414,11/30/2020 18:00:19,,NULL,in,NULL,NULL,0,15,NULL,NULL,,0,-1,NULL,NULL,NULL,NULL,12/01/2020 12:30:21,NULL,NULL,0,0
82501,12/01/2020 12:30:21,19,HR/EN/1677,11/30/2020 18:00:13,,NULL,in,NULL,NULL,0,15,NULL,NULL,,0,-1,NULL,NULL,NULL,NULL,12/01/2020 12:30:21,NULL,NULL,0,0
82500,12/01/2020 12:30:21,19,HR/EN/1677,11/30/2020 18:00:09,,NULL,in,NULL,NULL,0,15,NULL,NULL,,0,-1,NULL,NULL,NULL,NULL,12/01/2020 12:30:21,NULL,NULL,0,0
82499,12/01/2020 12:30:21,19,HR/EN/1552,11/30/2020 17:59:56,,NULL,in,NULL,NULL,0,15,NULL,NULL,,0,-1,NULL,NULL,NULL,NULL,12/01/2020 12:30:21,NULL,NULL,0,0
16573,12/01/2020 10:46:01,37,HR/EN/1652,11/30/2020 17:42:01,,NULL,out,NULL,NULL,4,15,NULL,NULL,,0,-1,NULL,NULL,NULL,NULL,12/01/2020 10:46:01,NULL,NULL,0,0
16572,12/01/2020 10:46:01,37,HR/EN/1652,11/30/2020 17:41:59,,NULL,out,NULL,NULL,4,15,NULL,NULL,,0,-1,NULL,NULL,NULL,NULL,12/01/2020 10:46:01,NULL,NULL,0,0
82498,12/01/2020 12:30:21,19,HR/EN/1397,11/30/2020 17:37:18,,NULL,in,NULL,NULL,0,15,NULL,NULL,,0,-1,NULL,NULL,NULL,NULL,12/01/2020 12:30:21,NULL,NULL,0,0
82497,12/01/2020 12:30:20,19,HR/EN/1397,11/30/2020 17:37:13,,NULL,in,NULL,NULL,0,15,NULL,NULL,,0,-1,NULL,NULL,NULL,NULL,12/01/2020 12:30:20,NULL,NULL,0,0
82496,12/01/2020 12:30:20,19,HR/EN/0130,11/30/2020 17:36:27,,NULL,in,NULL,NULL,0,15,NULL,NULL,,0,-1,NULL,NULL,NULL,NULL,12/01/2020 12:30:20,NULL,NULL,0,0
82495,12/01/2020 12:30:20,19,HR/EN/0130,11/30/2020 17:36:22,,NULL,in,NULL,NULL,0,15,NULL,NULL,,0,-1,NULL,NULL,NULL,NULL,12/01/2020 12:30:20,NULL,NULL,0,0
82494,12/01/2020 12:30:20,19,HR/EN/1744,11/30/2020 17:30:08,,NULL,in,NULL,NULL,0,15,NULL,NULL,,0,-1,NULL,NULL,NULL,NULL,12/01/2020 12:30:20,NULL,NULL,0,0
82493,12/01/2020 12:30:20,19,HR/EN/1745,11/30/2020 17:29:40,,NULL,in,NULL,NULL,0,15,NULL,NULL,,0,-1,NULL,NULL,NULL,NULL,12/01/2020 12:30:20,NULL,NULL,0,0
82492,12/01/2020 12:30:20,19,HR/EN/1745,11/30/2020 17:29:33,,NULL,in,NULL,NULL,0,15,NULL,NULL,,0,-1,NULL,NULL,NULL,NULL,12/01/2020 12:30:20,NULL,NULL,0,0
21967,12/01/2020 10:53:35,38,HR/EN/0105,11/30/2020 17:28:34,,NULL,in,NULL,NULL,0,15,NULL,NULL,,0,-1,NULL,NULL,NULL,NULL,12/01/2020 10:53:35,NULL,NULL,0,0
21966,12/01/2020 10:53:35,38,HR/EN/0105,11/30/2020 17:28:09,,NULL,in,NULL,NULL,0,15,NULL,NULL,,0,-1,NULL,NULL,NULL,NULL,12/01/2020 10:53:35,NULL,NULL,0,0
21965,12/01/2020 10:53:35,38,HR/EN/0105,11/30/2020 17:28:07,,NULL,in,NULL,NULL,0,15,NULL,NULL,,0,-1,NULL,NULL,NULL,NULL,12/01/2020 10:53:35,NULL,NULL,0,0
21964,12/01/2020 10:53:35,38,HR/EN/0105,11/30/2020 17:28:05,,NULL,in,NULL,NULL,0,15,NULL,NULL,,0,-1,NULL,NULL,NULL,NULL,12/01/2020 10:53:35,NULL,NULL,0,0
21963,12/01/2020 10:53:35,38,HR/EN/0105,11/30/2020 17:27:53,,NULL,in,NULL,NULL,0,15,NULL,NULL,,0,-1,NULL,NULL,NULL,NULL,12/01/2020 10:53:35,NULL,NULL,0,0
43817,12/01/2020 11:27:06,23,HR/EN/1535,11/30/2020 17:19:11,,NULL,in,NULL,NULL,0,15,NULL,NULL,,0,-1,NULL,NULL,NULL,NULL,12/01/2020 11:27:06,NULL,NULL,0,0
43816,12/01/2020 11:27:06,23,HR/EN/1535,11/30/2020 17:19:06,,NULL,in,NULL,NULL,0,15,NULL,NULL,,0,-1,NULL,NULL,NULL,NULL,12/01/2020 11:27:06,NULL,NULL,0,0
43815,12/01/2020 11:27:06,23,HR/EN/1535,11/30/2020 17:18:58,,NULL,in,NULL,NULL,0,15,NULL,NULL,,0,-1,NULL,NULL,NULL,NULL,12/01/2020 11:27:06,NULL,NULL,0,0
82491,12/01/2020 12:30:20,19,HR/EN/0799,11/30/2020 17:10:28,,NULL,in,NULL,NULL,0,15,NULL,NULL,,0,-1,NULL,NULL,NULL,NULL,12/01/2020 12:30:20,NULL,NULL,0,0
82490,12/01/2020 12:30:20,19,HR/EN/0799,11/30/2020 17:10:21,,NULL,in,NULL,NULL,0,15,NULL,NULL,,0,-1,NULL,NULL,NULL,NULL,12/01/2020 12:30:20,NULL,NULL,0,0
82489,12/01/2020 12:30:20,19,HR/EN/0799,11/30/2020 17:10:15,,NULL,in,NULL,NULL,0,15,NULL,NULL,,0,-1,NULL,NULL,NULL,NULL,12/01/2020 12:30:20,NULL,NULL,0,0
82488,12/01/2020 12:30:20,19,HR/EN/0799,11/30/2020 17:10:11,,NULL,in,NULL,NULL,0,15,NULL,NULL,,0,-1,NULL,NULL,NULL,NULL,12/01/2020 12:30:20,NULL,NULL,0,0
